@RELATION 'gasch10.names'

@ATTRIBUTE Heat_Shock_000_minutes__hs_2                                     numeric
@ATTRIBUTE Heat_Shock_000_minutes__hs_2                                     numeric
@ATTRIBUTE Heat_Shock_030inutes__hs_2                                       numeric
@ATTRIBUTE heat_shock_17_to_37_20_minutes                                   numeric
@ATTRIBUTE heat_shock_21_to_37_20_minutes                                   numeric
@ATTRIBUTE heat_shock_29_to_37_20_minutes                                   numeric
@ATTRIBUTE 33C_vs_30C___90_minutes                                          numeric
@ATTRIBUTE 29C_Plus1M_sorbitol_to_33C_Plus_NO_sorbitol___15_minutes         numeric
@ATTRIBUTE dtt_120_min_dtt_2                                                numeric
@ATTRIBUTE dtt_240_min_dtt_2                                                numeric
@ATTRIBUTE 1point5_mM_diamide_5_min                                         numeric
@ATTRIBUTE 1point5_mM_diamide_10_min                                        numeric
@ATTRIBUTE 1point5_mM_diamide_30_min                                        numeric
@ATTRIBUTE 1point5_mM_diamide_40_min                                        numeric
@ATTRIBUTE 1point5_mM_diamide_90_min                                        numeric
@ATTRIBUTE steady_state_1M_sorbitol                                         numeric
@ATTRIBUTE aa_starv_0point5_h                                               numeric
@ATTRIBUTE aa_starv_2_h                                                     numeric
@ATTRIBUTE Nitrogen_Depletion_2_h                                           numeric
@ATTRIBUTE Nitrogen_Depletion_4_h                                           numeric
@ATTRIBUTE Nitrogen_Depletion_8_h                                           numeric
@ATTRIBUTE Nitrogen_Depletion_1_d                                           numeric
@ATTRIBUTE diauxic_shift_timecourse_15point5_h                              numeric
@ATTRIBUTE diauxic_shift_timecourse_18point5_h                              numeric
@ATTRIBUTE diauxic_shift_timecourse_20point5_h                              numeric
@ATTRIBUTE YPD_6_h_ypd_2                                                    numeric
@ATTRIBUTE YPD_8_h_ypd_2                                                    numeric
@ATTRIBUTE YPD_10_h__ypd_2                                                  numeric
@ATTRIBUTE YPD_2_d_ypd_2                                                    numeric
@ATTRIBUTE YPD_stationary_phase_2_h_ypd_1                                   numeric
@ATTRIBUTE YPD_stationary_phase_4_h_ypd_1                                   numeric
@ATTRIBUTE YPD_stationary_phase_8_h_ypd_1                                   numeric
@ATTRIBUTE YPD_stationary_phase_12_h_ypd_1                                  numeric
@ATTRIBUTE YPD_stationary_phase_1_d_ypd_1                                   numeric
@ATTRIBUTE YPD_stationary_phase_2_d_ypd_1                                   numeric
@ATTRIBUTE YPD_stationary_phase_5_d_ypd_1                                   numeric
@ATTRIBUTE YPD_stationary_phase_22_d_ypd_1                                  numeric
@ATTRIBUTE YPD_stationary_phase_28_d_ypd_1                                  numeric
@ATTRIBUTE DBYmsn2/4_real_strain_Plus_37degrees_20_min                      numeric
@ATTRIBUTE DBYyap1_Plus_37degree_heat_repeat                                numeric
@ATTRIBUTE YP_ethanol_vs_reference_pool_car_2                               numeric
@ATTRIBUTE YP_raffinose_vs_reference_pool_car_2                             numeric
@ATTRIBUTE YP_sucrose_vs_reference_pool_car_2                               numeric
@ATTRIBUTE steady_state_15_dec_C_ct_2                                       numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.38,0.38,-0.15,-0.56,-0.29,-0.42,0.38,-0.29,0.77,0.24,0.12,0.49,0.49,0.84,0.87,-0.07,-1.43,-0.4,-0.38,-0.22,-0.81,-1.6,-0.06,-0.17,-0.47,-1.22,-1.43,-1.03,-1.84,0.05,0.4,0.88,-1.54,-1.21,-1.46,-1.52,-1.94,-1.86,-0.22,-0.48,-0.51,0.24,0.68,0.16,14/04@20/09/07/03@20/09/16
0.24,0.24,0.01,-0.64,-0.6,-0.32,-0.45,-0.84,-0.42,0.26,-0.17,-0.23,-0.09,-0.14,-0.23,0.11,-0.76,-0.3,0.2,-0.04,0.19,0.31,-0.56,-0.15,-0.3,-0.64,0.29,-0.07,-0.22,-0.3,-0.18,-0.32,-0.15,-0.18,-0.02,0.05,-0.19,-0.05,0.21,0.11,-0.39,-0.85,0.05,0,10/01/09/05@42/07
-0.06,-0.06,-0.18,-0.32,0.4,0.23,-0.04,0.39,-0.25,-0.25,-0.04,0.18,0.06,0.53,0.21,-2.64,-0.1,-0.27,-0.64,-0.74,-0.32,0.24,-0.64,0.21,-0.1,0.08,0.42,-0.54,-0.6,-0.59,-0.36,-0.12,0.1,-0.18,-0.45,0.45,0.14,0.17,-0.58,0,-0.61,-0.84,-0.17,0.04,01/06/10@11/02/03/04
0,0,0.48,0.15,0.8,0.44,0.26,0.12,0.63,0.34,0.31,0.44,0.54,0.64,0.29,0.88,-0.45,-0.34,-0.47,-0.71,-0.15,-0.23,-0.17,0.43,-0.09,0.94,0.26,0.71,-0.09,0.17,0.42,0.79,1.18,0.74,0.34,0.05,0.19,0.4,0.67,0.34,0,0.25,0.08,0.46,01/04@10/03/01/01@10/03/01/03@10/03/03@14/07/03@14/10@16/01@20/03@30/01/05@40/01@42/04/03@42/29@43/01/03/05
0.16,0.16,-0.02,-0.81,-0.42,-0.64,0.41,0.4,-0.01,0.15,-0.39,-0.43,-0.48,-0.52,-0.09,0.46,0.25,-0.16,-0.24,-0.21,-0.62,-1.51,-0.4,-1.03,-0.74,0.31,0.27,-0.09,-0.17,-0.33,-0.19,0.03,-0.23,-0.21,-0.08,0.75,-0.12,0.08,-0.19,0.01,-0.05,0.02,-0.05,-1.62,42/10/03
0.12,0.12,-0.03,-0.32,-0.1,-0.35,0.76,-0.67,0.11,0.07,0.11,0.03,0.36,0.37,0.31,0.32,-0.36,-0.52,-0.18,-0.39,-0.03,-0.18,-0.34,-0.25,-0.47,0.34,0.29,-0.08,-0.41,-0.4,-0.06,0.02,-0.08,-0.32,0.02,0.5,-0.23,-0.38,-0.23,-0.15,0.35,0.24,0.11,-0.66,01/01/13@01/03/16/01@01/05/25@10/03/01/01/01@11/02/03/04@11/04
-0.04,-0.04,0.63,-0.64,-0.29,1.98,-0.32,0,-0.63,-0.47,-0.12,-0.01,-0.27,-0.23,-0.15,0.13,0.86,0.25,-0.11,0,-0.64,-1.03,-0.23,-0.84,-1,1.5,0.96,1.06,1.28,-0.06,0.2,0.44,-0.38,-0.41,-0.6,-0.31,-0.53,-0.34,0.34,-0.03,-0.25,-0.51,0.12,-0.54,02/45/11@10/03/03@20/01/21@20/09/07@20/09/13@20/09/14@20/09/16@20/09/18/09/01@34/11/03/07@42/07@42/25@42/29@43/01/03/05
-0.07,-0.07,0.08,-0.07,-0.2,-0.04,-0.22,-0.15,0.19,0.06,-0.1,0.03,-0.09,0.04,-0.07,0.59,0.32,0,-0.22,-0.22,0,-0.38,-0.67,0.38,0.26,0.25,0.32,-0.14,-0.43,-0.12,-0.14,-0.21,-0.08,-0.29,-0.03,0.09,0.11,0.42,-0.23,-0.21,0.04,-0.3,-0.14,-0.14,11/02/03/04/01@11/04/03/01
0.37,0.37,0.6,-1.04,-0.8,-0.91,-0.03,-0.32,-0.87,0.08,0.21,0.23,-0.17,-0.1,0,-0.49,-0.16,0.18,-0.05,0.12,-0.12,-0.12,-0.47,-0.23,-0.71,0.19,0.07,0.27,1.02,0.05,0.19,0.11,-0.6,-0.56,-0.61,-0.5,-0.03,0.05,-0.2,-0.37,0.05,-0.68,0.09,-0.1,10/01/03@11/04/01@11/04/02
-0.49,-0.49,-0.15,0.34,0.06,0.14,-0.23,0.12,0.25,0.06,-0.47,-0.34,-0.25,0.06,0,0.65,-0.29,0.21,-0.18,-0.3,-0.49,-0.58,-0.29,-0.81,-0.47,0.88,-1,-0.71,-0.67,-0.16,-0.18,-0.11,-0.64,-0.79,-0.38,-1.03,-1.64,-1.2,0.49,0.2,-0.8,-0.72,-0.15,-0.54,10/03/01@10/03/05@18/02/03@18/02/05@30/01/05/05/01@30/05@34/11/03/07@40/01/03@41/01/01@42/04@42/29@43/01/03/05
-0.64,-0.64,0.52,0.45,0.4,-0.14,0.54,0.23,-0.03,0.4,0.14,-0.04,-0.01,-0.07,0.15,?,0.28,0.54,-0.01,-0.09,0,0.11,-0.47,0.08,0.33,1.53,1.53,0.96,1.4,-0.17,0.34,0.62,1,0.83,0.73,1.16,0.94,1.14,0.28,0.26,0.49,-1.27,-0.17,-0.18,14/07@20/09/13@20/09/16
-0.52,-0.52,0.17,-0.29,0.21,-0.32,-0.74,-0.76,0.13,-0.3,-0.04,0.01,-0.01,-0.11,-0.29,-0.34,-0.55,-0.73,-0.33,-0.36,-0.42,-0.05,0.16,-0.17,-0.12,0.45,0.41,-0.14,0.3,0.02,0.01,0.27,0.17,0.25,0.23,0.83,0.4,0.58,-0.09,-0.14,0.06,-0.61,-0.08,-0.41,01/06/10@11/02/03/04/01@16/03/01@42/19
-0.01,-0.01,0.1,-0.54,-0.05,0.06,-0.94,-0.72,-0.67,-0.54,-0.08,0.06,0.41,-0.16,-0.01,-0.92,-0.32,0.34,-0.07,-0.02,0.01,0.55,-0.32,-0.49,0.34,-1.1,-0.31,-0.5,-0.39,-0.07,0.16,0.07,1.7,0.53,0.7,1.61,1.9,1.87,-0.59,0.23,0.17,-0.52,-0.07,-0.2,11/02/03/04@16/13/01@34/07/01
0.37,0.37,-0.09,-0.54,-0.54,-0.42,0.08,0.4,-0.14,-0.47,-0.09,-0.07,-0.36,-0.15,-0.2,0.9,0.06,-0.14,0.18,0.06,-0.54,-0.74,-0.32,-0.06,-1.32,-0.67,-0.89,-0.64,-0.97,0.18,0.12,0.14,-1.38,-1.16,-1.18,-1.51,-1.49,-2.34,0.58,-0.16,-0.5,-0.14,0,-0.34,99
0.12,0.12,-0.17,-0.3,-0.36,-0.34,0.58,-0.62,0.21,0.07,-0.49,-0.27,-0.18,?,?,0.18,0.08,-0.47,-0.22,-0.17,-0.54,-1.32,-0.09,-0.01,0.29,-0.51,-1.12,-1.18,-1.51,0.05,0.01,0.29,0.3,-0.59,-0.55,-0.62,-0.8,-0.46,0.01,-0.44,-0.8,-0.54,0,-0.12,10/01/09/05@11/02/03/04/01@14/07/09@42/10/03
0.14,0.14,0.24,0.03,0.07,0.19,0.01,0.59,0.07,-0.1,0.15,0.39,0.48,0.59,0.06,0.75,0.1,0.23,0.08,0.16,-0.47,-0.54,-0.17,-0.51,-1.43,-0.4,-0.43,-0.03,-0.6,0.11,0.13,0.3,-1.11,-0.38,-0.62,-1.42,-1.01,-1.01,0.29,0.2,0.44,0.08,0.08,-0.04,10/01/02@10/01/03/05@10/01/05/01@10/01/05/03@10/03/01/03@16/03/01@32/01/09@34/11/03/07
0.58,0.58,-1.18,-0.58,-0.56,-0.84,-0.45,-0.15,-0.4,-0.22,-0.3,0.16,-0.51,0.1,-0.2,0.31,-0.97,0.04,0.06,0.51,-0.2,-0.03,-0.64,-0.6,-1.12,-0.67,-0.14,-1.09,-1.51,-0.12,-0.45,-0.53,-0.37,-0.45,-0.34,0.08,-0.67,-0.7,-0.14,-0.74,0.38,-0.96,-0.17,-1.09,11/04/02
-0.13,-0.13,0.38,-0.06,0.03,-0.49,-0.08,0.29,-0.3,0.12,0.06,0.23,0.11,0.09,-0.11,0.4,0.24,-0.06,-0.14,-0.15,-0.02,-0.06,-0.34,0.06,-0.41,0.5,-0.3,0.58,0.57,-0.24,0.07,-0.11,0.44,0.33,0.42,1.27,0.28,0.56,0.25,-0.18,1.02,-0.32,-1.24,-0.36,01/05@01/06/05@01/20/17/01@20/01/03@20/01/13@20/03@20/09/04
0.32,0.32,-0.3,-0.04,-0.39,-0.44,-0.08,-0.94,0.23,0.26,-0.15,-0.18,0.06,-0.19,-0.28,0.49,-1.06,-0.36,-0.15,-0.2,-0.09,-0.03,-0.14,-0.34,0.36,-0.56,1.04,-0.38,-0.43,-0.11,-0.15,-0.22,0.31,0.22,0.19,1.18,1.25,0.61,-0.46,0.01,0.72,-0.95,-0.47,-0.21,11/02/03/04@16/13/01@34/07/01
1.34,1.34,-1.69,-5.06,-4.32,-2.64,-0.15,0.66,-1.79,-1.56,-0.29,-1.03,-2.25,-1.56,-1.56,-0.14,-1.6,-1.06,-1.32,-1.36,-1.25,-1.32,-1.22,-1.47,-1.84,-2.32,-2.32,-1.15,-0.6,0.14,0.28,-0.54,-2.25,0.2,-0.04,-2.7,-3.29,-3.95,-0.64,-0.61,-3.64,0.12,1.28,1.8,01/04@01/05@01/07/04@20/01/25@32/01/11@43/01/03/05
1,1,-0.49,-3.47,-2.06,-1.64,0.42,-0.38,0.15,-0.71,0,-0.42,-1.4,-0.97,-0.1,0.25,-2,0.12,-1.12,-0.17,-2.64,-3.84,-0.47,-1.69,-2.25,-1.56,-1.89,-2.18,-2.74,0.48,0.87,0.79,-2.36,-1,-2.13,-1.99,-2.34,-2.7,-0.71,-1.19,-1.46,-0.65,0.34,1.03,01/03/01/01/03@01/03/01/03@16/17/03@40/01/01
0.54,0.54,-1.15,-0.81,-0.54,-0.97,0.41,-1,-0.76,-1.22,0.43,0.58,-0.42,-0.49,0.41,0.08,-1.6,0.03,0.16,0.31,0.37,-0.92,0,0.04,-0.58,-2,-2.12,-0.2,-1.43,0.23,0.43,0.64,-1.71,-0.36,-1.02,-0.51,-0.9,-0.63,-0.92,-1.44,-0.37,0.62,0.6,-0.32,10/01/09/05@10/03/04/03@11/02/03/04@16/01@16/03/01@42/10/03
0.77,0.77,-0.29,-1.89,-1.06,-1.32,0.25,-0.47,-0.34,-0.15,-0.23,-0.81,-0.84,-0.62,0.03,0.16,-1.4,-0.29,-0.09,0.07,-0.07,-0.84,-0.89,0,-1.18,-2.25,-1.25,-0.18,-1.84,-0.02,0.13,-0.32,-1.71,-0.8,-1.48,-1.3,-2.4,-2.93,-0.36,-0.92,-0.01,0.36,-0.02,0.34,01/04@10/03/02@14/07/03@32/01
